Date,Open,High,Low,Close,Adj Close,Volume
2014/10/1,3.39,3.42,3.3,3.35,3.35,33645900
2014/10/2,3.37,3.44,3.28,3.39,3.39,27904500
2014/10/3,3.43,3.46,3.37,3.4,3.4,16797000
2014/10/6,3.42,3.44,3.3,3.36,3.36,17864800
2014/10/7,3.35,3.38,3.28,3.28,3.28,17720600
2014/10/8,3.3,3.31,3.18,3.28,3.28,28000000
2014/10/9,3.03,3.2,2.94,2.95,2.95,69528900
2014/10/10,2.95,2.95,2.71,2.72,2.72,41062500
2014/10/13,2.78,2.85,2.73,2.74,2.74,38269400
2014/10/14,2.61,2.75,2.6,2.62,2.62,39964200
2014/10/15,2.62,2.71,2.54,2.61,2.61,36924600
2014/10/16,2.56,2.72,2.54,2.64,2.64,38795400
2014/10/17,2.67,2.86,2.66,2.72,2.72,75956600
2014/10/20,2.79,2.8,2.6,2.67,2.67,28711000
2014/10/21,2.7,2.78,2.68,2.77,2.77,24033800
2014/10/22,2.79,2.8,2.64,2.64,2.64,23034800
2014/10/23,2.68,2.71,2.65,2.69,2.69,23731000
2014/10/24,2.69,2.73,2.67,2.68,2.68,11945800
2014/10/27,2.68,2.71,2.65,2.66,2.66,13307500
2014/10/28,2.69,2.77,2.67,2.72,2.72,22878300
2014/10/29,2.75,2.81,2.73,2.77,2.77,15600900
2014/10/30,2.79,2.79,2.7,2.75,2.75,13026100
2014/10/31,2.79,2.83,2.75,2.8,2.8,14704800
2014/11/3,2.81,2.9,2.81,2.87,2.87,11733600
2014/11/4,2.9,2.91,2.75,2.83,2.83,12524300
2014/11/5,2.85,2.87,2.77,2.8,2.8,9635100
2014/11/6,2.78,2.8,2.75,2.76,2.76,8932900
2014/11/7,2.77,2.8,2.76,2.78,2.78,7293800
2014/11/10,2.78,2.81,2.75,2.76,2.76,12593100
2014/11/11,2.78,2.79,2.72,2.73,2.73,8113500
2014/11/12,2.73,2.75,2.65,2.71,2.71,15875400
2014/11/13,2.71,2.74,2.65,2.66,2.66,10915400
2014/11/14,2.68,2.7,2.61,2.61,2.61,12373000
2014/11/17,2.62,2.69,2.61,2.67,2.67,12593800
2014/11/18,2.69,2.73,2.63,2.65,2.65,14967800
2014/11/19,2.68,2.68,2.61,2.63,2.63,10323300
2014/11/20,2.6,2.72,2.59,2.69,2.69,15043900
2014/11/21,2.72,2.77,2.71,2.77,2.77,11311600
2014/11/24,2.8,2.85,2.8,2.83,2.83,12293900
2014/11/25,2.84,2.86,2.76,2.83,2.83,11073600
